scope,model_id,arm,metric,value,ci_low,ci_high,n,pending
per_model,probe-target-builtin,A,judge_asr,1.0,1.0,1.0,8,False
per_model,probe-target-builtin,A,strong_evidence_asr,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,A,attack_fp_rate,1.0,1.0,1.0,4,False
per_model,probe-target-builtin,A,overturn_rate,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,A,evidence_upgrade_rate,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,A,extra_query_cost,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,A,target_retest_queries,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,A,judge_queries,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,A,probe_steps,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,A,actual_token_count,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,A,actual_monetary_cost_usd,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,A,utility_rate_clean,0.0,0.0,0.0,1,False
per_model,probe-target-builtin,A,over_defense_rate,1.0,1.0,1.0,1,False
per_model,probe-target-builtin,A,judge_vs_human_kappa,PENDING,,,0,True
per_model,probe-target-builtin,A_prime,judge_asr,1.0,1.0,1.0,8,False
per_model,probe-target-builtin,A_prime,strong_evidence_asr,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,A_prime,attack_fp_rate,1.0,1.0,1.0,4,False
per_model,probe-target-builtin,A_prime,overturn_rate,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,A_prime,evidence_upgrade_rate,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,A_prime,extra_query_cost,1.0,1.0,1.0,8,False
per_model,probe-target-builtin,A_prime,target_retest_queries,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,A_prime,judge_queries,1.0,1.0,1.0,8,False
per_model,probe-target-builtin,A_prime,probe_steps,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,A_prime,actual_token_count,3111.75,3055.875,3174.375,8,False
per_model,probe-target-builtin,A_prime,actual_monetary_cost_usd,PENDING,,,0,True
per_model,probe-target-builtin,A_prime,utility_rate_clean,0.0,0.0,0.0,1,False
per_model,probe-target-builtin,A_prime,over_defense_rate,1.0,1.0,1.0,1,False
per_model,probe-target-builtin,A_prime,judge_vs_human_kappa,PENDING,,,0,True
per_model,probe-target-builtin,B,judge_asr,0.5,0.125,0.875,8,False
per_model,probe-target-builtin,B,strong_evidence_asr,0.5,0.125,0.875,8,False
per_model,probe-target-builtin,B,attack_fp_rate,0.0,0.0,0.0,4,False
per_model,probe-target-builtin,B,overturn_rate,0.5,0.125,0.875,8,False
per_model,probe-target-builtin,B,evidence_upgrade_rate,0.5,0.125,0.875,8,False
per_model,probe-target-builtin,B,extra_query_cost,1.0,1.0,1.0,8,False
per_model,probe-target-builtin,B,target_retest_queries,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,B,judge_queries,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,B,probe_steps,1.0,1.0,1.0,8,False
per_model,probe-target-builtin,B,actual_token_count,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,B,actual_monetary_cost_usd,0.0,0.0,0.0,8,False
per_model,probe-target-builtin,B,utility_rate_clean,1.0,1.0,1.0,1,False
per_model,probe-target-builtin,B,over_defense_rate,0.0,0.0,0.0,1,False
per_model,probe-target-builtin,B,judge_vs_human_kappa,PENDING,,,0,True
pooled,pooled,A,judge_asr,1.0,1.0,1.0,8,False
pooled,pooled,A,strong_evidence_asr,0.0,0.0,0.0,8,False
pooled,pooled,A,attack_fp_rate,1.0,1.0,1.0,4,False
pooled,pooled,A,overturn_rate,0.0,0.0,0.0,8,False
pooled,pooled,A,evidence_upgrade_rate,0.0,0.0,0.0,8,False
pooled,pooled,A,extra_query_cost,0.0,0.0,0.0,8,False
pooled,pooled,A,target_retest_queries,0.0,0.0,0.0,8,False
pooled,pooled,A,judge_queries,0.0,0.0,0.0,8,False
pooled,pooled,A,probe_steps,0.0,0.0,0.0,8,False
pooled,pooled,A,actual_token_count,0.0,0.0,0.0,8,False
pooled,pooled,A,actual_monetary_cost_usd,0.0,0.0,0.0,8,False
pooled,pooled,A,utility_rate_clean,0.0,0.0,0.0,1,False
pooled,pooled,A,over_defense_rate,1.0,1.0,1.0,1,False
pooled,pooled,A,judge_vs_human_kappa,PENDING,,,0,True
pooled,pooled,A_prime,judge_asr,1.0,1.0,1.0,8,False
pooled,pooled,A_prime,strong_evidence_asr,0.0,0.0,0.0,8,False
pooled,pooled,A_prime,attack_fp_rate,1.0,1.0,1.0,4,False
pooled,pooled,A_prime,overturn_rate,0.0,0.0,0.0,8,False
pooled,pooled,A_prime,evidence_upgrade_rate,0.0,0.0,0.0,8,False
pooled,pooled,A_prime,extra_query_cost,1.0,1.0,1.0,8,False
pooled,pooled,A_prime,target_retest_queries,0.0,0.0,0.0,8,False
pooled,pooled,A_prime,judge_queries,1.0,1.0,1.0,8,False
pooled,pooled,A_prime,probe_steps,0.0,0.0,0.0,8,False
pooled,pooled,A_prime,actual_token_count,3111.75,3051.0,3170.75,8,False
pooled,pooled,A_prime,actual_monetary_cost_usd,PENDING,,,0,True
pooled,pooled,A_prime,utility_rate_clean,0.0,0.0,0.0,1,False
pooled,pooled,A_prime,over_defense_rate,1.0,1.0,1.0,1,False
pooled,pooled,A_prime,judge_vs_human_kappa,PENDING,,,0,True
pooled,pooled,B,judge_asr,0.5,0.125,0.875,8,False
pooled,pooled,B,strong_evidence_asr,0.5,0.125,0.875,8,False
pooled,pooled,B,attack_fp_rate,0.0,0.0,0.0,4,False
pooled,pooled,B,overturn_rate,0.5,0.125,0.875,8,False
pooled,pooled,B,evidence_upgrade_rate,0.5,0.125,0.875,8,False
pooled,pooled,B,extra_query_cost,1.0,1.0,1.0,8,False
pooled,pooled,B,target_retest_queries,0.0,0.0,0.0,8,False
pooled,pooled,B,judge_queries,0.0,0.0,0.0,8,False
pooled,pooled,B,probe_steps,1.0,1.0,1.0,8,False
pooled,pooled,B,actual_token_count,0.0,0.0,0.0,8,False
pooled,pooled,B,actual_monetary_cost_usd,0.0,0.0,0.0,8,False
pooled,pooled,B,utility_rate_clean,1.0,1.0,1.0,1,False
pooled,pooled,B,over_defense_rate,0.0,0.0,0.0,1,False
pooled,pooled,B,judge_vs_human_kappa,PENDING,,,0,True
