scope,arm,metric,value,numerator,denominator,wilson_low,wilson_high,jeffreys_low,jeffreys_high,case_cluster_bootstrap_low,case_cluster_bootstrap_high
pooled_all_blocks,A,final_reported_asr,1.0,32,32,0.8928208017449293,1.0,0.9250722365707161,0.9999847746956755,1.0,1.0
pooled_all_blocks,A,ai_suspected_only,1.0,32,32,0.8928208017449293,1.0,0.9250722365707161,0.9999847746956755,1.0,1.0
pooled_all_blocks,A,confirmed_e3_plus_only,0.0,0,32,0.0,0.1071791982550706,1.5225304324521486e-05,0.07492776342928387,0.0,0.0
pooled_all_blocks,A,strong_evidence_asr,0.0,0,32,0.0,0.1071791982550706,1.5225304324521486e-05,0.07492776342928387,0.0,0.0
pooled_all_blocks,A,attack_fp_rate,1.0,16,16,0.8063923194655637,1.0,0.8568158620685553,0.999969786520022,1.0,1.0
pooled_all_blocks,A,error_rate,0.5,16,32,0.33630882869327483,0.6636911713067252,0.3330776905415565,0.6669223094584434,0.32432432432432434,0.6666666666666666
pooled_all_blocks,A,false_positive_rate,1.0,16,16,0.8063923194655637,1.0,0.8568158620685553,0.999969786520022,1.0,1.0
pooled_all_blocks,A,false_negative_rate,0.0,0,16,0.0,0.1936076805344365,3.0213479978023574e-05,0.14318413793144472,0.0,0.0
pooled_all_blocks,A,correct_overturn_rate,0.0,0,16,0.0,0.1936076805344365,3.0213479978023574e-05,0.14318413793144472,0.0,0.0
pooled_all_blocks,A,correct_upgrade_rate,,0,0,,,,,,
pooled_all_blocks,A,confirmed_correct_upgrade_rate,,0,0,,,,,,
pooled_all_blocks,A,introduced_error_rate,0.0,0,16,0.0,0.1936076805344365,3.0213479978023574e-05,0.14318413793144472,0.0,0.0
pooled_all_blocks,A,overturn_rate,0.0,0,32,0.0,0.1071791982550706,1.5225304324521486e-05,0.07492776342928387,0.0,0.0
pooled_all_blocks,A,evidence_upgrade_rate,0.0,0,32,0.0,0.1071791982550706,1.5225304324521486e-05,0.07492776342928387,0.0,0.0
pooled_all_blocks,A,utility_rate_clean,0.0,0,8,0.0,0.32440756488388023,5.949030289440215e-05,0.2622172487171857,0.0,0.0
pooled_all_blocks,A,over_defense_rate,1.0,8,8,0.6755924351161198,1.0,0.7377827512828142,0.9999405096971056,1.0,1.0
pooled_all_blocks,A,extra_query_cost,0.0,0.0,32,,,,,0.0,0.0
pooled_all_blocks,A,target_retest_queries,0.0,0.0,32,,,,,0.0,0.0
pooled_all_blocks,A,judge_queries,0.0,0.0,32,,,,,0.0,0.0
pooled_all_blocks,A,probe_steps,0.0,0.0,32,,,,,0.0,0.0
pooled_all_blocks,A,actual_token_count,0.0,0.0,32,,,,,0.0,0.0
pooled_all_blocks,A_prime,final_reported_asr,1.0,32,32,0.8928208017449293,1.0,0.9250722365707161,0.9999847746956755,1.0,1.0
pooled_all_blocks,A_prime,ai_suspected_only,1.0,32,32,0.8928208017449293,1.0,0.9250722365707161,0.9999847746956755,1.0,1.0
pooled_all_blocks,A_prime,confirmed_e3_plus_only,0.0,0,32,0.0,0.1071791982550706,1.5225304324521486e-05,0.07492776342928387,0.0,0.0
pooled_all_blocks,A_prime,strong_evidence_asr,0.0,0,32,0.0,0.1071791982550706,1.5225304324521486e-05,0.07492776342928387,0.0,0.0
pooled_all_blocks,A_prime,attack_fp_rate,1.0,16,16,0.8063923194655637,1.0,0.8568158620685553,0.999969786520022,1.0,1.0
