scope,arm,metric,value,numerator,denominator,wilson_low,wilson_high,jeffreys_low,jeffreys_high,case_cluster_bootstrap_low,case_cluster_bootstrap_high
pooled_all_blocks,A,final_reported_asr,1.0,8,8,0.6755924351161198,1.0,0.7377827512828142,0.9999405096971056,1.0,1.0
pooled_all_blocks,A,ai_suspected_only,0.5,4,8,0.21521606221387757,0.7847839377861224,0.1989656112814958,0.8010343887185042,0.125,0.875
pooled_all_blocks,A,confirmed_e3_plus_only,0.0,0,8,0.0,0.32440756488388023,5.949030289440215e-05,0.2622172487171857,0.0,0.0
pooled_all_blocks,A,strong_evidence_asr,0.0,0,8,0.0,0.32440756488388023,5.949030289440215e-05,0.2622172487171857,0.0,0.0
pooled_all_blocks,A,attack_fp_rate,1.0,4,4,0.5101091635454027,1.0,0.5552373823423603,0.9998846672117617,1.0,1.0
pooled_all_blocks,A,error_rate,0.5,4,8,0.21521606221387757,0.7847839377861224,0.1989656112814958,0.8010343887185042,0.125,0.875
pooled_all_blocks,A,false_positive_rate,1.0,4,4,0.5101091635454027,1.0,0.5552373823423603,0.9998846672117617,1.0,1.0
pooled_all_blocks,A,false_negative_rate,0.0,0,4,0.0,0.4898908364545973,0.0001153327882382748,0.4447626176576396,0.0,0.0
pooled_all_blocks,A,correct_overturn_rate,0.0,0,4,0.0,0.4898908364545973,0.0001153327882382748,0.4447626176576396,0.0,0.0
pooled_all_blocks,A,correct_upgrade_rate,1.0,4,4,0.5101091635454027,1.0,0.5552373823423603,0.9998846672117617,1.0,1.0
pooled_all_blocks,A,confirmed_correct_upgrade_rate,0.0,0,4,0.0,0.4898908364545973,0.0001153327882382748,0.4447626176576396,0.0,0.0
pooled_all_blocks,A,introduced_error_rate,,0,0,,,,,,
pooled_all_blocks,A,overturn_rate,0.0,0,8,0.0,0.32440756488388023,5.949030289440215e-05,0.2622172487171857,0.0,0.0
pooled_all_blocks,A,evidence_upgrade_rate,0.0,0,8,0.0,0.32440756488388023,5.949030289440215e-05,0.2622172487171857,0.0,0.0
pooled_all_blocks,A,utility_rate_clean,,0,0,,,,,,
pooled_all_blocks,A,over_defense_rate,,0,0,,,,,,
pooled_all_blocks,A,extra_query_cost,0.0,0.0,8,,,,,0.0,0.0
pooled_all_blocks,A,target_retest_queries,0.0,0.0,8,,,,,0.0,0.0
pooled_all_blocks,A,judge_queries,0.0,0.0,8,,,,,0.0,0.0
pooled_all_blocks,A,probe_steps,0.0,0.0,8,,,,,0.0,0.0
pooled_all_blocks,A,actual_token_count,0.0,0.0,8,,,,,0.0,0.0
pooled_all_blocks,A_prime,final_reported_asr,1.0,8,8,0.6755924351161198,1.0,0.7377827512828142,0.9999405096971056,1.0,1.0
pooled_all_blocks,A_prime,ai_suspected_only,0.5,4,8,0.21521606221387757,0.7847839377861224,0.1989656112814958,0.8010343887185042,0.125,0.875
pooled_all_blocks,A_prime,confirmed_e3_plus_only,0.0,0,8,0.0,0.32440756488388023,5.949030289440215e-05,0.2622172487171857,0.0,0.0
pooled_all_blocks,A_prime,strong_evidence_asr,0.0,0,8,0.0,0.32440756488388023,5.949030289440215e-05,0.2622172487171857,0.0,0.0
pooled_all_blocks,A_prime,attack_fp_rate,1.0,4,4,0.5101091635454027,1.0,0.5552373823423603,0.9998846672117617,1.0,1.0
pooled_all_blocks,A_prime,error_rate,0.5,4,8,0.21521606221387757,0.7847839377861224,0.1989656112814958,0.8010343887185042,0.125,0.875
pooled_all_blocks,A_prime,false_positive_rate,1.0,4,4,0.5101091635454027,1.0,0.5552373823423603,0.9998846672117617,1.0,1.0
pooled_all_blocks,A_prime,false_negative_rate,0.0,0,4,0.0,0.4898908364545973,0.0001153327882382748,0.4447626176576396,0.0,0.0
pooled_all_blocks,A_prime,correct_overturn_rate,0.0,0,4,0.0,0.4898908364545973,0.0001153327882382748,0.4447626176576396,0.0,0.0
pooled_all_blocks,A_prime,correct_upgrade_rate,1.0,4,4,0.5101091635454027,1.0,0.5552373823423603,0.9998846672117617,1.0,1.0
pooled_all_blocks,A_prime,confirmed_correct_upgrade_rate,0.0,0,4,0.0,0.4898908364545973,0.0001153327882382748,0.4447626176576396,0.0,0.0
pooled_all_blocks,A_prime,introduced_error_rate,,0,0,,,,,,
pooled_all_blocks,A_prime,overturn_rate,0.0,0,8,0.0,0.32440756488388023,5.949030289440215e-05,0.2622172487171857,0.0,0.0
pooled_all_blocks,A_prime,evidence_upgrade_rate,0.0,0,8,0.0,0.32440756488388023,5.949030289440215e-05,0.2622172487171857,0.0,0.0
pooled_all_blocks,A_prime,utility_rate_clean,,0,0,,,,,,
pooled_all_blocks,A_prime,over_defense_rate,,0,0,,,,,,
pooled_all_blocks,A_prime,extra_query_cost,1.0,8.0,8,,,,,1.0,1.0
